Date,maturity,value
9/30/2020,1 Mo,0.08
10/1/2020,1 Mo,0.09
10/2/2020,1 Mo,0.1
10/5/2020,1 Mo,0.09
10/6/2020,1 Mo,0.08
10/7/2020,1 Mo,0.08
10/8/2020,1 Mo,0.09
10/9/2020,1 Mo,0.1
10/13/2020,1 Mo,0.09
10/14/2020,1 Mo,0.1
10/15/2020,1 Mo,0.1
10/16/2020,1 Mo,0.09
10/19/2020,1 Mo,0.09
10/20/2020,1 Mo,0.08
10/21/2020,1 Mo,0.08
10/22/2020,1 Mo,0.09
10/23/2020,1 Mo,0.08
10/26/2020,1 Mo,0.08
10/27/2020,1 Mo,0.08
10/28/2020,1 Mo,0.07
10/29/2020,1 Mo,0.08
10/30/2020,1 Mo,0.08
11/2/2020,1 Mo,0.09
11/3/2020,1 Mo,0.09
11/4/2020,1 Mo,0.08
11/5/2020,1 Mo,0.09
11/6/2020,1 Mo,0.1
11/9/2020,1 Mo,0.1
11/10/2020,1 Mo,0.09
11/12/2020,1 Mo,0.1
1/2/2020,2 Mo,1.55
1/3/2020,2 Mo,1.55
1/6/2020,2 Mo,1.54
1/7/2020,2 Mo,1.53
1/8/2020,2 Mo,1.53
1/9/2020,2 Mo,1.55
1/10/2020,2 Mo,1.55
1/13/2020,2 Mo,1.56
1/14/2020,2 Mo,1.56
1/15/2020,2 Mo,1.56
1/16/2020,2 Mo,1.56
1/17/2020,2 Mo,1.56
1/21/2020,2 Mo,1.54
1/22/2020,2 Mo,1.53
1/23/2020,2 Mo,1.57
1/24/2020,2 Mo,1.55
1/27/2020,2 Mo,1.55
1/28/2020,2 Mo,1.57
1/29/2020,2 Mo,1.55
1/30/2020,2 Mo,1.58
1/31/2020,2 Mo,1.57
2/3/2020,2 Mo,1.57
2/4/2020,2 Mo,1.57
2/5/2020,2 Mo,1.56
2/6/2020,2 Mo,1.59
2/7/2020,2 Mo,1.58
2/10/2020,2 Mo,1.58
2/11/2020,2 Mo,1.58
2/12/2020,2 Mo,1.59
2/13/2020,2 Mo,1.59
2/14/2020,2 Mo,1.6
2/18/2020,2 Mo,1.6
2/19/2020,2 Mo,1.61
2/20/2020,2 Mo,1.6
2/21/2020,2 Mo,1.6
2/24/2020,2 Mo,1.59
2/25/2020,2 Mo,1.58
2/26/2020,2 Mo,1.56
2/27/2020,2 Mo,1.53
2/28/2020,2 Mo,1.37
3/2/2020,2 Mo,1.27
3/3/2020,2 Mo,1.05
3/4/2020,2 Mo,0.87
3/5/2020,2 Mo,0.83
3/6/2020,2 Mo,0.64
3/9/2020,2 Mo,0.52
3/10/2020,2 Mo,0.55
3/11/2020,2 Mo,0.42
3/12/2020,2 Mo,0.33
3/13/2020,2 Mo,0.3
3/16/2020,2 Mo,0.25
3/17/2020,2 Mo,0.18
3/18/2020,2 Mo,0.03
3/19/2020,2 Mo,0.04
3/20/2020,2 Mo,0.05
3/23/2020,2 Mo,0.04
3/24/2020,2 Mo,0.01
3/25/2020,2 Mo,0.0
3/26/2020,2 Mo,0.01
3/27/2020,2 Mo,0.03
3/30/2020,2 Mo,0.07
3/31/2020,2 Mo,0.12
4/1/2020,2 Mo,0.07
4/2/2020,2 Mo,0.1
4/3/2020,2 Mo,0.11
4/6/2020,2 Mo,0.13
4/7/2020,2 Mo,0.13
4/8/2020,2 Mo,0.17
4/9/2020,2 Mo,0.27
4/13/2020,2 Mo,0.29
4/14/2020,2 Mo,0.19
4/15/2020,2 Mo,0.15
4/16/2020,2 Mo,0.15
4/17/2020,2 Mo,0.12
4/20/2020,2 Mo,0.1
4/21/2020,2 Mo,0.08
4/22/2020,2 Mo,0.09
4/23/2020,2 Mo,0.12
4/24/2020,2 Mo,0.11
4/27/2020,2 Mo,0.13
4/28/2020,2 Mo,0.09
4/29/2020,2 Mo,0.09
4/30/2020,2 Mo,0.1
5/1/2020,2 Mo,0.11
5/4/2020,2 Mo,0.1
5/5/2020,2 Mo,0.11
5/6/2020,2 Mo,0.1
5/7/2020,2 Mo,0.11
5/8/2020,2 Mo,0.11
5/11/2020,2 Mo,0.11
5/12/2020,2 Mo,0.11
5/13/2020,2 Mo,0.1
5/14/2020,2 Mo,0.1
5/15/2020,2 Mo,0.09
5/18/2020,2 Mo,0.11
5/19/2020,2 Mo,0.11
5/20/2020,2 Mo,0.11
5/21/2020,2 Mo,0.11
5/22/2020,2 Mo,0.11
5/26/2020,2 Mo,0.12
5/27/2020,2 Mo,0.14
5/28/2020,2 Mo,0.15
5/29/2020,2 Mo,0.14
6/1/2020,2 Mo,0.14
6/2/2020,2 Mo,0.13
6/3/2020,2 Mo,0.14
6/4/2020,2 Mo,0.15
6/5/2020,2 Mo,0.14
6/8/2020,2 Mo,0.15
6/9/2020,2 Mo,0.17
6/10/2020,2 Mo,0.16
6/11/2020,2 Mo,0.16
6/12/2020,2 Mo,0.15
6/15/2020,2 Mo,0.16
6/16/2020,2 Mo,0.15
6/17/2020,2 Mo,0.15
6/18/2020,2 Mo,0.14
6/19/2020,2 Mo,0.14
6/22/2020,2 Mo,0.15
6/23/2020,2 Mo,0.14
6/24/2020,2 Mo,0.14
6/25/2020,2 Mo,0.14
6/26/2020,2 Mo,0.15
6/29/2020,2 Mo,0.14
6/30/2020,2 Mo,0.14
7/1/2020,2 Mo,0.12
7/2/2020,2 Mo,0.14
7/6/2020,2 Mo,0.14
7/7/2020,2 Mo,0.14
7/8/2020,2 Mo,0.13
7/9/2020,2 Mo,0.12
7/10/2020,2 Mo,0.12
7/13/2020,2 Mo,0.12
7/14/2020,2 Mo,0.14
7/15/2020,2 Mo,0.13
7/16/2020,2 Mo,0.11
7/17/2020,2 Mo,0.11
7/20/2020,2 Mo,0.12
7/21/2020,2 Mo,0.11
7/22/2020,2 Mo,0.12
7/23/2020,2 Mo,0.11
7/24/2020,2 Mo,0.11
7/27/2020,2 Mo,0.1
7/28/2020,2 Mo,0.11
7/29/2020,2 Mo,0.1
7/30/2020,2 Mo,0.1
7/31/2020,2 Mo,0.09
8/3/2020,2 Mo,0.09
8/4/2020,2 Mo,0.09
8/5/2020,2 Mo,0.09
8/6/2020,2 Mo,0.11
8/7/2020,2 Mo,0.09
8/10/2020,2 Mo,0.11
8/11/2020,2 Mo,0.1
8/12/2020,2 Mo,0.1
8/13/2020,2 Mo,0.1
8/14/2020,2 Mo,0.1
8/17/2020,2 Mo,0.1
8/18/2020,2 Mo,0.09
8/19/2020,2 Mo,0.09
8/20/2020,2 Mo,0.09
8/21/2020,2 Mo,0.09
8/24/2020,2 Mo,0.1
8/25/2020,2 Mo,0.1
8/26/2020,2 Mo,0.1
8/27/2020,2 Mo,0.1
8/28/2020,2 Mo,0.09
8/31/2020,2 Mo,0.1
9/1/2020,2 Mo,0.11
9/2/2020,2 Mo,0.1
9/3/2020,2 Mo,0.11
9/4/2020,2 Mo,0.1
9/8/2020,2 Mo,0.1
9/9/2020,2 Mo,0.11
9/10/2020,2 Mo,0.11
9/11/2020,2 Mo,0.11
9/14/2020,2 Mo,0.11
9/15/2020,2 Mo,0.1
9/16/2020,2 Mo,0.11
9/17/2020,2 Mo,0.09
9/18/2020,2 Mo,0.1
9/21/2020,2 Mo,0.1
9/22/2020,2 Mo,0.09
9/23/2020,2 Mo,0.09
9/24/2020,2 Mo,0.09
9/25/2020,2 Mo,0.09
9/28/2020,2 Mo,0.1
9/29/2020,2 Mo,0.08
9/30/2020,2 Mo,0.08
10/1/2020,2 Mo,0.09
10/2/2020,2 Mo,0.09
10/5/2020,2 Mo,0.1
10/6/2020,2 Mo,0.09
10/7/2020,2 Mo,0.09
10/8/2020,2 Mo,0.09
10/9/2020,2 Mo,0.11
10/13/2020,2 Mo,0.09
10/14/2020,2 Mo,0.1
10/15/2020,2 Mo,0.1
10/16/2020,2 Mo,0.1
10/19/2020,2 Mo,0.1
10/20/2020,2 Mo,0.09
10/21/2020,2 Mo,0.09
10/22/2020,2 Mo,0.09
10/23/2020,2 Mo,0.09
10/26/2020,2 Mo,0.09
10/27/2020,2 Mo,0.09
10/28/2020,2 Mo,0.09
10/29/2020,2 Mo,0.1
10/30/2020,2 Mo,0.09
11/2/2020,2 Mo,0.09
11/3/2020,2 Mo,0.1
11/4/2020,2 Mo,0.09
11/5/2020,2 Mo,0.1
11/6/2020,2 Mo,0.1
11/9/2020,2 Mo,0.1
11/10/2020,2 Mo,0.09
11/12/2020,2 Mo,0.11
1/2/2020,3 Mo,1.54
1/3/2020,3 Mo,1.52
1/6/2020,3 Mo,1.56
1/7/2020,3 Mo,1.54
1/8/2020,3 Mo,1.54
1/9/2020,3 Mo,1.54
1/10/2020,3 Mo,1.54
1/13/2020,3 Mo,1.57
1/14/2020,3 Mo,1.57
1/15/2020,3 Mo,1.57
1/16/2020,3 Mo,1.55
1/17/2020,3 Mo,1.56
1/21/2020,3 Mo,1.56
1/22/2020,3 Mo,1.55
1/23/2020,3 Mo,1.55
1/24/2020,3 Mo,1.54
1/27/2020,3 Mo,1.55
1/28/2020,3 Mo,1.57
1/29/2020,3 Mo,1.56
1/30/2020,3 Mo,1.57
1/31/2020,3 Mo,1.55
2/3/2020,3 Mo,1.57
2/4/2020,3 Mo,1.57
2/5/2020,3 Mo,1.57
2/6/2020,3 Mo,1.57
2/7/2020,3 Mo,1.56
2/10/2020,3 Mo,1.58
2/11/2020,3 Mo,1.57
2/12/2020,3 Mo,1.58
2/13/2020,3 Mo,1.59
2/14/2020,3 Mo,1.58
2/18/2020,3 Mo,1.58
2/19/2020,3 Mo,1.58
2/20/2020,3 Mo,1.58
2/21/2020,3 Mo,1.56
2/24/2020,3 Mo,1.53
2/25/2020,3 Mo,1.53
2/26/2020,3 Mo,1.53
2/27/2020,3 Mo,1.45
2/28/2020,3 Mo,1.27
3/2/2020,3 Mo,1.13
3/3/2020,3 Mo,0.95
3/4/2020,3 Mo,0.72
3/5/2020,3 Mo,0.62
3/6/2020,3 Mo,0.45
3/9/2020,3 Mo,0.33
3/10/2020,3 Mo,0.44
3/11/2020,3 Mo,0.42
3/12/2020,3 Mo,0.33
3/13/2020,3 Mo,0.28
3/16/2020,3 Mo,0.24
3/17/2020,3 Mo,0.19
3/18/2020,3 Mo,0.02
3/19/2020,3 Mo,0.04
3/20/2020,3 Mo,0.05
3/23/2020,3 Mo,0.02
3/24/2020,3 Mo,0.01
3/25/2020,3 Mo,0.0
3/26/2020,3 Mo,0.0
3/27/2020,3 Mo,0.03
3/30/2020,3 Mo,0.12
3/31/2020,3 Mo,0.11
4/1/2020,3 Mo,0.09
4/2/2020,3 Mo,0.09
4/3/2020,3 Mo,0.1
4/6/2020,3 Mo,0.15
4/7/2020,3 Mo,0.14
4/8/2020,3 Mo,0.22
4/9/2020,3 Mo,0.25
4/13/2020,3 Mo,0.26
4/14/2020,3 Mo,0.2
4/15/2020,3 Mo,0.14
4/16/2020,3 Mo,0.14
4/17/2020,3 Mo,0.12
4/20/2020,3 Mo,0.12
4/21/2020,3 Mo,0.11
4/22/2020,3 Mo,0.12
4/23/2020,3 Mo,0.11
4/24/2020,3 Mo,0.12
4/27/2020,3 Mo,0.12
4/28/2020,3 Mo,0.11
4/29/2020,3 Mo,0.1
4/30/2020,3 Mo,0.09
5/1/2020,3 Mo,0.12
5/4/2020,3 Mo,0.13
5/5/2020,3 Mo,0.13
5/6/2020,3 Mo,0.12
5/7/2020,3 Mo,0.11
5/8/2020,3 Mo,0.12
5/11/2020,3 Mo,0.12
5/12/2020,3 Mo,0.13
5/13/2020,3 Mo,0.13
5/14/2020,3 Mo,0.12
5/15/2020,3 Mo,0.12
5/18/2020,3 Mo,0.13
5/19/2020,3 Mo,0.13
5/20/2020,3 Mo,0.12
5/21/2020,3 Mo,0.12
5/22/2020,3 Mo,0.12
5/26/2020,3 Mo,0.14
5/27/2020,3 Mo,0.15
5/28/2020,3 Mo,0.15
5/29/2020,3 Mo,0.14
6/1/2020,3 Mo,0.14
6/2/2020,3 Mo,0.15
6/3/2020,3 Mo,0.16
6/4/2020,3 Mo,0.15
6/5/2020,3 Mo,0.15
6/8/2020,3 Mo,0.17
6/9/2020,3 Mo,0.19
6/10/2020,3 Mo,0.17
6/11/2020,3 Mo,0.17
6/12/2020,3 Mo,0.16
6/15/2020,3 Mo,0.18
6/16/2020,3 Mo,0.17
6/17/2020,3 Mo,0.17
6/18/2020,3 Mo,0.16
6/19/2020,3 Mo,0.15
6/22/2020,3 Mo,0.16
6/23/2020,3 Mo,0.16
6/24/2020,3 Mo,0.15
6/25/2020,3 Mo,0.16
6/26/2020,3 Mo,0.14
6/29/2020,3 Mo,0.14
6/30/2020,3 Mo,0.16
7/1/2020,3 Mo,0.14
7/2/2020,3 Mo,0.14
7/6/2020,3 Mo,0.15
7/7/2020,3 Mo,0.15
7/8/2020,3 Mo,0.15
7/9/2020,3 Mo,0.13
7/10/2020,3 Mo,0.13
7/13/2020,3 Mo,0.14
7/14/2020,3 Mo,0.15
7/15/2020,3 Mo,0.16
7/16/2020,3 Mo,0.11
7/17/2020,3 Mo,0.11
7/20/2020,3 Mo,0.13
7/21/2020,3 Mo,0.13
7/22/2020,3 Mo,0.13
7/23/2020,3 Mo,0.12
7/24/2020,3 Mo,0.11
7/27/2020,3 Mo,0.11
7/28/2020,3 Mo,0.11
7/29/2020,3 Mo,0.11
7/30/2020,3 Mo,0.09
7/31/2020,3 Mo,0.09
8/3/2020,3 Mo,0.1
8/4/2020,3 Mo,0.09
8/5/2020,3 Mo,0.1
8/6/2020,3 Mo,0.1
8/7/2020,3 Mo,0.1
8/10/2020,3 Mo,0.11
8/11/2020,3 Mo,0.11
8/12/2020,3 Mo,0.11
8/13/2020,3 Mo,0.1
8/14/2020,3 Mo,0.1
8/17/2020,3 Mo,0.1
8/18/2020,3 Mo,0.09
8/19/2020,3 Mo,0.11
8/20/2020,3 Mo,0.11
8/21/2020,3 Mo,0.1
8/24/2020,3 Mo,0.12
8/25/2020,3 Mo,0.11
8/26/2020,3 Mo,0.11
8/27/2020,3 Mo,0.11
8/28/2020,3 Mo,0.1
8/31/2020,3 Mo,0.11
9/1/2020,3 Mo,0.12
9/2/2020,3 Mo,0.12
9/3/2020,3 Mo,0.11
9/4/2020,3 Mo,0.11
9/8/2020,3 Mo,0.13
9/9/2020,3 Mo,0.12
9/10/2020,3 Mo,0.12
9/11/2020,3 Mo,0.11
9/14/2020,3 Mo,0.11
9/15/2020,3 Mo,0.11
9/16/2020,3 Mo,0.12
9/17/2020,3 Mo,0.09
9/18/2020,3 Mo,0.1
9/21/2020,3 Mo,0.1
9/22/2020,3 Mo,0.1
9/23/2020,3 Mo,0.11
9/24/2020,3 Mo,0.1
9/25/2020,3 Mo,0.1
9/28/2020,3 Mo,0.11
9/29/2020,3 Mo,0.09
9/30/2020,3 Mo,0.1
10/1/2020,3 Mo,0.09
10/2/2020,3 Mo,0.09
10/5/2020,3 Mo,0.1
10/6/2020,3 Mo,0.1
10/7/2020,3 Mo,0.1
10/8/2020,3 Mo,0.09
10/9/2020,3 Mo,0.1
10/13/2020,3 Mo,0.11
10/14/2020,3 Mo,0.12
10/15/2020,3 Mo,0.11
10/16/2020,3 Mo,0.11
10/19/2020,3 Mo,0.11
10/20/2020,3 Mo,0.1
10/21/2020,3 Mo,0.1
10/22/2020,3 Mo,0.09
10/23/2020,3 Mo,0.1
10/26/2020,3 Mo,0.11
10/27/2020,3 Mo,0.1
10/28/2020,3 Mo,0.1
10/29/2020,3 Mo,0.09
10/30/2020,3 Mo,0.09
11/2/2020,3 Mo,0.09
11/3/2020,3 Mo,0.1
11/4/2020,3 Mo,0.1
11/5/2020,3 Mo,0.1
11/6/2020,3 Mo,0.1
11/9/2020,3 Mo,0.11
11/10/2020,3 Mo,0.1
11/12/2020,3 Mo,0.1
1/2/2020,6 Mo,1.57
1/3/2020,6 Mo,1.55
1/6/2020,6 Mo,1.56
1/7/2020,6 Mo,1.56
1/8/2020,6 Mo,1.56
1/9/2020,6 Mo,1.56
1/10/2020,6 Mo,1.55
1/13/2020,6 Mo,1.57
1/14/2020,6 Mo,1.57
1/15/2020,6 Mo,1.58
1/16/2020,6 Mo,1.56
1/17/2020,6 Mo,1.57
1/21/2020,6 Mo,1.57
1/22/2020,6 Mo,1.56
1/23/2020,6 Mo,1.56
1/24/2020,6 Mo,1.55
1/27/2020,6 Mo,1.57
1/28/2020,6 Mo,1.58
1/29/2020,6 Mo,1.57
1/30/2020,6 Mo,1.57
1/31/2020,6 Mo,1.54
2/3/2020,6 Mo,1.56
2/4/2020,6 Mo,1.57
2/5/2020,6 Mo,1.57
2/6/2020,6 Mo,1.58
2/7/2020,6 Mo,1.57
2/10/2020,6 Mo,1.58
2/11/2020,6 Mo,1.55
2/12/2020,6 Mo,1.56
2/13/2020,6 Mo,1.56
2/14/2020,6 Mo,1.56
2/18/2020,6 Mo,1.56
2/19/2020,6 Mo,1.56
2/20/2020,6 Mo,1.55
2/21/2020,6 Mo,1.53
2/24/2020,6 Mo,1.49
2/25/2020,6 Mo,1.47
2/26/2020,6 Mo,1.42
2/27/2020,6 Mo,1.33
2/28/2020,6 Mo,1.11
3/2/2020,6 Mo,0.95
3/3/2020,6 Mo,0.83
3/4/2020,6 Mo,0.68
3/5/2020,6 Mo,0.53
3/6/2020,6 Mo,0.41
3/9/2020,6 Mo,0.27
3/10/2020,6 Mo,0.43
3/11/2020,6 Mo,0.4
3/12/2020,6 Mo,0.37
3/13/2020,6 Mo,0.38
3/16/2020,6 Mo,0.29
3/17/2020,6 Mo,0.24
3/18/2020,6 Mo,0.08
3/19/2020,6 Mo,0.06
3/20/2020,6 Mo,0.05
3/23/2020,6 Mo,0.08
3/24/2020,6 Mo,0.09
3/25/2020,6 Mo,0.07
3/26/2020,6 Mo,0.04
3/27/2020,6 Mo,0.02
3/30/2020,6 Mo,0.12
3/31/2020,6 Mo,0.15
4/1/2020,6 Mo,0.14
4/2/2020,6 Mo,0.15
4/3/2020,6 Mo,0.15
4/6/2020,6 Mo,0.17
4/7/2020,6 Mo,0.2
4/8/2020,6 Mo,0.24
4/9/2020,6 Mo,0.24
4/13/2020,6 Mo,0.27
4/14/2020,6 Mo,0.24
4/15/2020,6 Mo,0.19
4/16/2020,6 Mo,0.18
4/17/2020,6 Mo,0.16
4/20/2020,6 Mo,0.15
4/21/2020,6 Mo,0.14
4/22/2020,6 Mo,0.14
4/23/2020,6 Mo,0.14
4/24/2020,6 Mo,0.14
4/27/2020,6 Mo,0.15
4/28/2020,6 Mo,0.13
4/29/2020,6 Mo,0.12
4/30/2020,6 Mo,0.11
5/1/2020,6 Mo,0.12
5/4/2020,6 Mo,0.14
5/5/2020,6 Mo,0.15
5/6/2020,6 Mo,0.16
5/7/2020,6 Mo,0.14
5/8/2020,6 Mo,0.15
5/11/2020,6 Mo,0.16
5/12/2020,6 Mo,0.16
5/13/2020,6 Mo,0.15
5/14/2020,6 Mo,0.15
5/15/2020,6 Mo,0.15
5/18/2020,6 Mo,0.15
5/19/2020,6 Mo,0.15
5/20/2020,6 Mo,0.14
5/21/2020,6 Mo,0.14
5/22/2020,6 Mo,0.16
5/26/2020,6 Mo,0.17
5/27/2020,6 Mo,0.17
5/28/2020,6 Mo,0.18
5/29/2020,6 Mo,0.18
6/1/2020,6 Mo,0.18
6/2/2020,6 Mo,0.18
6/3/2020,6 Mo,0.19
6/4/2020,6 Mo,0.18
6/5/2020,6 Mo,0.18
6/8/2020,6 Mo,0.19
6/9/2020,6 Mo,0.19
6/10/2020,6 Mo,0.19
6/11/2020,6 Mo,0.18
6/12/2020,6 Mo,0.18
6/15/2020,6 Mo,0.19
6/16/2020,6 Mo,0.19
6/17/2020,6 Mo,0.18
6/18/2020,6 Mo,0.17
6/19/2020,6 Mo,0.17
6/22/2020,6 Mo,0.18
6/23/2020,6 Mo,0.17
6/24/2020,6 Mo,0.17
6/25/2020,6 Mo,0.17
6/26/2020,6 Mo,0.17
6/29/2020,6 Mo,0.18
6/30/2020,6 Mo,0.18
7/1/2020,6 Mo,0.17
7/2/2020,6 Mo,0.16
7/6/2020,6 Mo,0.16
7/7/2020,6 Mo,0.17
7/8/2020,6 Mo,0.17
7/9/2020,6 Mo,0.16
7/10/2020,6 Mo,0.15
7/13/2020,6 Mo,0.15
7/14/2020,6 Mo,0.14
7/15/2020,6 Mo,0.15
7/16/2020,6 Mo,0.13
7/17/2020,6 Mo,0.13
7/20/2020,6 Mo,0.14
7/21/2020,6 Mo,0.13
7/22/2020,6 Mo,0.14
7/23/2020,6 Mo,0.13
7/24/2020,6 Mo,0.14
7/27/2020,6 Mo,0.14
7/28/2020,6 Mo,0.12
7/29/2020,6 Mo,0.12
7/30/2020,6 Mo,0.11
7/31/2020,6 Mo,0.1
8/3/2020,6 Mo,0.11
8/4/2020,6 Mo,0.11
8/5/2020,6 Mo,0.12
8/6/2020,6 Mo,0.11
8/7/2020,6 Mo,0.12
8/10/2020,6 Mo,0.13
8/11/2020,6 Mo,0.12
8/12/2020,6 Mo,0.12
8/13/2020,6 Mo,0.12
8/14/2020,6 Mo,0.12
8/17/2020,6 Mo,0.12
8/18/2020,6 Mo,0.13
8/19/2020,6 Mo,0.12
8/20/2020,6 Mo,0.13
8/21/2020,6 Mo,0.12
8/24/2020,6 Mo,0.12
8/25/2020,6 Mo,0.12
8/26/2020,6 Mo,0.12
8/27/2020,6 Mo,0.11
8/28/2020,6 Mo,0.11
8/31/2020,6 Mo,0.13
