Date,KO1 Comdty  (L1),OR1 Comdty  (R1),RG1 Comdty  (R1)
1/29/2014,2535,194.9,217.4
1/30/2014,2551,188.6,217
2/3/2014,,189.3,215
2/4/2014,2521,186.9,211
2/5/2014,2540,184.8,208
2/6/2014,2565,181.2,202
2/7/2014,2577,183.1,206
2/10/2014,2626,192.2,212
2/11/2014,2610,194.5,215.5
2/12/2014,2628,195.4,215.5
2/13/2014,2649,191,214.5
2/14/2014,2649,191.1,215
2/17/2014,2683,197.5,223
2/18/2014,2710,197.2,223
2/19/2014,2708,196.4,223.1
2/20/2014,2765,190.8,216.5
2/21/2014,2776,190.5,216.4
2/24/2014,2769,183.4,213.5
2/25/2014,2750,179,213
2/26/2014,2830,179.1,213
2/27/2014,2815,183.6,216
2/28/2014,2825,183,218
3/3/2014,2821,187.6,220.2
3/4/2014,2790,187.9,220.5
3/5/2014,2831,191.5,223.5
3/6/2014,2865,191.3,224
3/7/2014,2890,191,224
3/10/2014,2904,188,221
3/11/2014,2912,192.5,224
3/12/2014,2859,196.2,229.8
3/13/2014,2841,198.3,232.1
3/14/2014,2841,200.6,233.2
3/17/2014,2829,195.3,229.5
3/18/2014,2839,193.4,228.9
3/19/2014,2871,193.7,229.9
3/20/2014,2865,192.9,228.5
3/21/2014,2822,191.9,229.9
3/24/2014,2793,190.8,230.5
3/25/2014,2797,191.7,232.5
3/26/2014,2770,189.9,229.7
3/27/2014,2733,186.8,229.5
3/28/2014,2735,189.3,233.7
3/31/2014,2718,190,235.8
4/1/2014,2689,189.2,233.1
4/2/2014,2713,184.9,228.5
4/3/2014,2675,185.3,223
4/4/2014,2705,183.5,226.5
4/7/2014,2668,181.7,226
4/8/2014,2619,183.5,227
4/9/2014,2650,182.6,226.6
4/10/2014,2655,180.4,225
4/11/2014,2660,179.3,224.8
4/14/2014,2670,179.4,224
4/15/2014,2680,180.4,224.5
4/16/2014,2736,180.7,224.8
4/17/2014,2712,177.8,220.9
4/18/2014,2694,,
4/21/2014,2695,164.6,203.8
4/22/2014,2730,168,206.5
4/23/2014,2698,168.9,205.8
4/24/2014,2701,169.7,207
4/25/2014,2705,168.3,207.1
4/28/2014,2717,170.1,211.6
4/29/2014,2690,174.5,217.2
4/30/2014,2691,176,216.5
5/2/2014,2660,169.8,206
5/5/2014,2640,168.5,204
5/6/2014,2632,165.8,200.5
5/7/2014,2642,166.1,201.2
5/8/2014,2633,166.1,200
5/9/2014,2645,167.4,202.6
5/12/2014,2650,169.6,205.7
5/14/2014,2672,170.5,209.8
5/15/2014,2672,170.2,208
5/16/2014,2629,169.1,208.3
5/19/2014,2590,171.7,213
5/20/2014,2559,170.7,210.5
5/21/2014,2542,171.3,210
5/22/2014,2550,170.3,209.7
5/23/2014,2541,170.2,210.1
5/26/2014,2520,170.8,210.4
5/27/2014,2509,171.1,210.5
5/28/2014,2507,171.7,210.5
5/29/2014,2460,170.7,209.7
5/30/2014,2426,169.5,205
6/2/2014,2422,166.5,199.8
6/3/2014,2400,166.6,198.9
6/4/2014,2440,166.2,202.3
6/5/2014,2423,165.9,201.7
6/6/2014,2420,166.7,203.8
6/9/2014,2410,167.1,205
6/10/2014,2386,167.4,207
6/11/2014,2380,168.3,210.3
6/12/2014,2403,167.4,208
6/13/2014,2403,168,209.2
6/16/2014,2440,167.8,208.5
6/17/2014,2445,168.4,210.2
6/18/2014,2484,170,211.9
6/19/2014,2467,172.1,213
6/20/2014,2460,173.9,214.7
6/23/2014,2489,179.5,217.5
6/24/2014,2491,179.4,215.6
6/25/2014,2497,178.9,214.5
6/26/2014,2487,179.2,211.3
6/27/2014,2468,178.6,209.7
6/30/2014,2448,177.2,209
7/1/2014,2435,173.7,205.3
7/2/2014,2450,174,206.5
7/3/2014,2469,174.2,209
7/4/2014,2458,173.1,207.8
7/7/2014,2466,166.7,198.8
7/8/2014,2453,167.7,200.7
7/9/2014,2440,167.3,200.5
7/10/2014,2450,167.2,200
7/11/2014,2410,167.7,200.5
7/14/2014,2375,166.9,200.5
7/15/2014,,166.1,199
7/16/2014,2378,166.8,202.7
7/17/2014,2381,169.3,205.5
7/18/2014,2386,169,202.9
7/21/2014,2373,167.8,201
7/22/2014,2365,167.9,199.3
7/23/2014,2342,167.9,199.5
7/24/2014,2356,168.8,200
7/25/2014,2335,168.8,199.5
7/29/2014,,171.7,201
7/30/2014,2318,172,201
7/31/2014,2328,171.4,200.5
8/1/2014,2357,171.2,196.9
8/4/2014,2341,170,195.7
8/5/2014,2328,169,193.7
8/6/2014,2318,168,191.3
8/7/2014,2316,168.8,191.3
8/8/2014,2291,168.3,190.1
8/11/2014,2230,168.3,188.1
8/12/2014,2228,167.3,185.5
8/13/2014,2215,165.8,183
8/14/2014,2166,164.7,182
8/15/2014,2166,164.4,180.3
8/18/2014,2099,163.3,180.7
8/19/2014,2074,163.8,181.2
8/20/2014,2054,164.5,180.8
8/21/2014,2055,164.8,181
8/22/2014,2021,167.1,182.8
8/25/2014,2049,166.4,181.7
8/26/2014,2035,164.6,179.8
8/27/2014,1996,165.4,180.5
8/28/2014,1984,164.4,179.5
8/29/2014,1937,160,179
9/1/2014,,161.4,177.3
9/2/2014,1964,162.9,177.9
9/3/2014,1984,162.4,175.6
9/4/2014,2035,162.8,177.3
9/5/2014,2041,160.9,174.6
9/8/2014,2054,159.1,170.3
9/9/2014,2050,152.4,166
9/10/2014,2049,150.9,163.5
9/11/2014,2090,152.2,163.4
9/12/2014,2125,153.4,164
9/15/2014,2160,154,163.7
9/16/2014,,154,165.9
9/17/2014,2156,155.2,165.9
9/18/2014,2170,152.9,165.6
9/19/2014,2136,151,163
9/22/2014,2123,145.9,157.2
9/23/2014,2152,144.8,154.3
9/24/2014,2178,146.4,155.3
9/25/2014,2205,145,151.6
9/26/2014,2189,147.3,156
9/29/2014,2202,147.5,153.3
9/30/2014,2232,148,156
10/1/2014,2210,138.7,150
10/2/2014,2165,139.4,150.2
10/3/2014,2187,139.5,152.7
10/7/2014,2202,141.9,154.9
10/8/2014,2220,143.1,155.3
10/9/2014,2220,144.4,157.2
10/10/2014,2209,143.4,156
10/13/2014,2187,146.2,157.5
10/14/2014,2193,149,159.7
10/15/2014,2178,149.3,159.3
10/16/2014,2135,148.8,159.3
10/17/2014,2165,152.6,163.1
10/20/2014,2147,154.9,165.6
10/21/2014,2159,155.4,166
10/23/2014,2185,160.3,171.8
10/24/2014,2199,161.2,171.5
10/27/2014,2188,158.1,168.9
10/28/2014,2222,158.8,170.2
10/29/2014,2260,160,172.1
10/30/2014,2275,158.3,171
10/31/2014,2295,158,170
11/3/2014,2315,154.4,168
11/4/2014,2285,151.6,165.4
11/5/2014,2228,,161.8
11/6/2014,2219,151.9,163.2
11/7/2014,2192,153.8,164.8
11/10/2014,2205,154.5,164
11/11/2014,2234,153.9,163.8
11/12/2014,2214,155.8,167
11/13/2014,2191,156.5,168
11/14/2014,2191,154.9,166
11/17/2014,2208,153,162.8
11/18/2014,2230,153.7,163.2
11/19/2014,2234,154.7,164
11/20/2014,2213,154.8,164.5
11/21/2014,2215,153.5,160.6
11/24/2014,2195,155.1,164.5
11/25/2014,2201,155.8,162.8
11/26/2014,2205,155.9,160.3
11/27/2014,2165,154.5,160
11/28/2014,2147,151.7,157
12/1/2014,2100,148,154.6
12/2/2014,2129,149.6,156
12/3/2014,2160,147.8,154
12/4/2014,2147,148.9,155
12/5/2014,2135,147.7,155.1
12/8/2014,2148,145.9,153
12/9/2014,2107,143.3,152
12/10/2014,2140,143.5,151.5
12/11/2014,2175,143.1,152.8
12/12/2014,2154,146,158.4
12/15/2014,2154,149.7,162.3
12/16/2014,2113,148.5,162.5
12/17/2014,2123,147.9,163.9
12/18/2014,2146,147.8,164.5
12/19/2014,2160,148.6,165.9
12/22/2014,2171,148,167
12/23/2014,2209,147.3,166
12/24/2014,2217,146.4,162
12/26/2014,2250,147.4,164.5
12/29/2014,2298,148,166.9
12/30/2014,2300,152.8,168.9
12/31/2014,2291,152.2,170
1/2/2015,2315,153.4,171
1/5/2015,2298,151.3,169.7
1/6/2015,2309,149.5,168
1/7/2015,2349,144.3,165
1/8/2015,2384,144.4,164.8
1/9/2015,2359,145.5,166
1/12/2015,2375,144.5,165
1/13/2015,2375,142,163
1/14/2015,2361,139.8,160
1/15/2015,2373,139.9,160.4
1/16/2015,2348,138.2,160
1/19/2015,2342,138,160.9
1/20/2015,2337,138.5,161.5
1/21/2015,2291,138.8,163.5
1/22/2015,2272,140.2,166
1/23/2015,2264,140.3,167.5
1/26/2015,2200,139.6,166
1/27/2015,2188,140.4,168.7
1/28/2015,2221,140.8,170
1/29/2015,2147,139.4,169
1/30/2015,2154,138.7,167.5
2/2/2015,,139.8,172.7
2/3/2015,,140.7,174.7
2/4/2015,2193,140.5,174.5
2/5/2015,2300,141,175.2
2/6/2015,2330,141.2,178.5
2/9/2015,2294,140.6,180.8
2/10/2015,2278,139.6,183.6
2/11/2015,2255,140.2,184
2/12/2015,2265,141,184
2/13/2015,2265,143.2,185.3
2/16/2015,2305,143.4,186.1
2/17/2015,2286,143.2,182.7
2/18/2015,2302,140.7,182
2/23/2015,2247,139.7,181.8
2/24/2015,2273,139.6,182.7
2/25/2015,2258,140.1,181
2/26/2015,2292,145,183.5
2/27/2015,2321,145.8,182
3/2/2015,2381,143.9,183.5
3/3/2015,2389,142.3,181.5
3/4/2015,2378,143.4,180.8
3/5/2015,2350,143.5,179
3/6/2015,2312,140.5,172.2
3/9/2015,2280,141.5,172.2
3/10/2015,2240,141.4,171.5
3/11/2015,2286,141.6,171
3/12/2015,2248,142.7,172
3/13/2015,2270,143.2,171.5
3/16/2015,2209,142.9,172.5
3/17/2015,2149,143.3,173
3/18/2015,2195,142.8,172.3
3/19/2015,2210,142.9,171.7
3/20/2015,2168,142.9,171.3
3/23/2015,2188,143.1,172
3/24/2015,2165,143.3,173
3/25/2015,2160,143.2,172.5
3/26/2015,2174,143.5,173.4
3/27/2015,2151,142.9,171.1
