COMMODITY,"DEFINITIONS, COVERAGE, REMARKS",Item,Item Code,subclass,subclass code,class,class code,type,lifespan
Rice-Fermented Beverages,"Low-alcohol beverages, such as rice wine and sake.",,39,,,beverage,,,
Rice-Fermented Beverages,See Chapter 15.,,39,,,"Cereals, Total",1717.0,,
Breakfast Cereals,"Foods prepared by swelling and roasting cereals or cereal products,
e.g. corn flakes, puffed rice; cereals o/t maize, in grain form,
precooked or otherwise prepared.",,41,,,"Cereals, Total",1717.0,,
"BARLEY
Hordeum spp.: 

two-row barley (H. disticum)

six-row barley",,Barley,44,,,"Cereals, Total",1717.0,Annual,
Pot Barley,"Whole-seed barley with the husks, hulls and bran removed.",,45,,,"Cereals, Total",1717.0,Annual,
"Barley, Pearled","Small, round pellets obtained by the further milling of pot barley.
This definition also includes kibbled, rolled or flaked grains.",,46,,,"Cereals, Total",1717.0,Annual,
Bran of Barley,See Chapter 11.,,47,,,"Cereals, Total",1717.0,Annual,
Bran of Barley,A by-product of the production of pot barley.,,47,,,fodder,,Annual,
Barley Flour and Grits,"Fine flour and course meal obtained as milling by-products of pearled
barley.",,48,,,"Cereals, Total",1717.0,Annual,
Malt,"A grain - usually barley - that has been germinated through a soaking
process and then dried. Malt is used in brewing and distilling, and as
a nutrient additive. Includes whole, ground, flour, and roasted malt,
but excludes extracts and preparations.",,49,,,"Cereals, Total",1717.0,,
Malt Extract,"A concentrated solution from water-macerated malt, which is used in
infant and dietetic foods and in bread baking.",,50,,,"Cereals, Total",1717.0,,
Beer of Barley,See Chapter 15.,,51,,,"Cereals, Total",1717.0,,
Beer of Barley,"Beverage that may be alcoholic or non-alcoholic that is made from
fermented malted cereals (mainly barley), water and hops. Non-malted
cereals may also be used. The FAO definition differs from the main
international classifications in that it includes non-alcoholic beer.",,51,,,beverage,,,
"MAIZE
Zea mays
Corn, Indian corn, mealies","A grain with a high germ content. At the national level, hybrid and
ordinary maize should be reported separately owing to widely different
yields and uses. Used largely for animal feed and commercial starch
production.",Maize,56,,,"Cereals, Total",1717.0,Annual,
Germ of Maize,"The seed embryo that is separated during processing and is valued
mainly for its oil.",,57,,,"Cereals, Total",1717.0,Annual,
Flour of Maize,"Broadly defined to include meal, groats and pellets.",,58,,,"Cereals, Total",1717.0,Annual,
Bran of Maize,A by-product of the milling of shelled maize.,,59,,,fodder,,Annual,
Bran of Maize,See Chapter 11.,,59,,,"Cereals, Total",1717.0,Annual,
Oil of Maize,See Chapter 6.,,60,,,"Cereals, Total",1717.0,Annual,
Oil of Maize,Extracted from germ by pressure or by solvents.,,60,,,fat,,Annual,
Cake of Maize,See Chapter 11.,,61,,,"Cereals, Total",1717.0,Annual,
Cake of Maize,A residue of the extraction of oil from germ.,,61,,,fodder,,Annual,
Maize Gluten,"Maize protein is often called gluten, although it lacks the quality
characteristics of wheat gluten. It is separated from maize during
commercial wet milling and used to enrich animal feeds.",,63,,,"Cereals, Total",1717.0,Annual,
Starch of Maize,"See 0023.
The primary product of the large- scale industrial
wet-milling process. Used mainly for the production of glucose,
dextrin and alcohol.",,64,,,"Cereals, Total",1717.0,Annual,
Beer of Maize,Prepared either from malted or unmalted cereal.,,66,,,beverage,,Annual,
Beer of Maize,See Chapter 15.,,66,,,"Cereals, Total",1717.0,Annual,
WHITE MAIZE,"Although separate data are reported for white maize production owing
to its regional importance, its production is also included in 0056.",,67,,,"Cereals, Total",1717.0,Annual,
"POPCORN
Zea mays var. everta","A variety of maize that is eaten after the kernels have been heated
and have ""popped"".",,68,,,"Cereals, Total",1717.0,Annual,
"RYE
Secale cereale","A grain that is tolerant of poor soils, high latitudes and altitudes.
Mainly used in making bread, whisky and beer. When fed to livestock,
it is generally mixed with other grains.",Rye,71,,,"Cereals, Total",1717.0,,
Flour of Rye,"Broadly defined to include meal, groats and pellets. In northern
countries, rye flour is used primarily in bread.",,72,,,"Cereals, Total",1717.0,,
Bran of Rye,See Chapter 11.,,73,,,"Cereals, Total",1717.0,,
Bran of Rye,A milling by-product.,,73,,,fodder,,,
"OATS
Avena spp., mainly  Avena sativa","A plant with open, spreading panicle-bearing large spikelets. Used
primarily in breakfast foods. Makes excellent fodder for horses.",Oats,75,,,"Cereals, Total",1717.0,,
"Oats, Rolled","Obtained by crushing or rolling the whole or broken grain; includes
grains flaked, hulled or otherwise worked for human consumption.",,76,,,"Cereals, Total",1717.0,,
"Bran of Oats

See Chapter 11.",See Chapter 11.,,77,,,"Cereals, Total",1717.0,,
Bran of Oats,"By-product of milling oats for human consumption, containing mainly
hulls and fragments of the endosperm (oat millfeed), as well as
residues from hulling, rolling, flaking, etc.",,77,,,fodder,,,
"MILLETS
Including inter alia:

barnyard or Japanese millet (Echinocloa frumentacea);
ragi, finger or African millet (Eleusine coracana);
teff (Eragrostis abyssinica);
common, golden or proso millet (Panicum miliaceum);
koda or ditch millet (Paspalum scrobiculatum);
pearl or cattail millet (Pennisetum glaucum);
foxtail millet (Setaria italica)","Small-grained cereals that include a large number of different
botanical species. Originated by the domestication of wild African
grasses in the Nile valley and the Sahel zone, millets were
subsequently taken to China and India. These cereals tolerate arid
conditions and possess a small, highly nutritious grain that stores
well. Used locally, both as a food and as a livestock feed. In all
areas where they are cultivated, millets are used in traditional beer
brewing. Also used as a feed for birds.",Millet,79,,,"Cereals, Total",1717.0,,
Flour of Millet,"Broadly defined to include meal, groats and pellets.",,80,,,"Cereals, Total",1717.0,,
Bran of Millet,See Chapter 11.,,81,,,"Cereals, Total",1717.0,,
Bran of Millet,A milling by-product.,,81,,,fodder,,,
Beer of Millet,See Chapter 15.,,82,,,"Cereals, Total",1717.0,,
Beer of Millet,"A traditional beer prepared in African countries in which millets are
cultivated. It is normally consumed while still fermenting.",,82,,,beverage,,,
"SORGHUM
Sorghum spp.:

guinea corn (S. guineense);

common, milo, feterita, kaffir

corn (S. vulgare);

durra, jowar, kaoliang (S. dura)","A cereal that has both food and feed uses. Sorghum is a major food
grain in most of Africa, where it is also used in traditional beer
brewing. It is desirable to report hybrid and other varieties
separately.",Sorghum,83,,,"Cereals, Total",1717.0,,
Flour of Sorghum,"Broadly defined to include meal, groats and pellets.",,84,,,"Cereals, Total",1717.0,,
Bran of Sorghum,A milling by-product.,,85,,,fodder,,,
Bran of Sorghum,See Chapter 11.,,85,,,"Cereals, Total",1717.0,,
Beer of Sorghum,"A traditional beer prepared in African countries in which sorghum is
cultivated. It is normally consumed while still fermenting.",,86,,,beverage,,,
Beer of Sorghum,See Chapter 15.,,86,,,"Cereals, Total",1717.0,,
"BUCKWHEAT
Fagopyrum esculentum
(Polygonaceae)","A minor cereal cultivated primarily in northern regions. Buckwheat is
considered a cereal, although it does not belong to the gramineous
family.",Buckwheat,89,,,"Cereals, Total",1717.0,Annual,
Flour of Buckwheat,"Broadly defined to include meal, groats and pellets. The flour is
normally used in bread and crackers, and is also mixed with wheat
flour. Meal and groats are normally used for soups.",,90,,,"Cereals, Total",1717.0,Annual,
Bran of Buckwheat,A milling by-product.,,91,,,fodder,,Annual,
Bran of Buckwheat,See Chapter 11.,,91,,,"Cereals, Total",1717.0,Annual,
"QUINOA
Chenopodium quinoa
(Chenopodiaceae)","A minor cereal, which tolerates high altitudes, quinoa is cultivated
primarily in Andean countries. Used for food and to make chicha, a
fermented beverage.",Quinoa,92,,,"Cereals, Total",1717.0,,
"FONIO
Digitaria spp.:
fonio or findi (D. exilis);
black fonio or hungry rice
(D. iburua)","A minor cereal of importance only in West Africa where it is eaten in
place of rice during famines. The seeds are cooked by steaming the
whole grain.",Fonio,94,,,"Cereals, Total",1717.0,,
Flour of Fonio,"Broadly defined to include meal, groats and pellets.",,95,,,"Cereals, Total",1717.0,,
Bran of Fonio,See Chapter 11.,,96,,,"Cereals, Total",1717.0,,
Bran of Fonio,A milling by-product.,,96,,,fodder,,,
TRITICALE,"A minor cereal that is a cross between wheat and rye, combining the
quality and yield of wheat with the hardiness of rye.",Triticale,97,,,"Cereals, Total",1717.0,,
Flour of Triticale,"Broadly defined to include meal, groats and pellets.",,98,,,"Cereals, Total",1717.0,,
Bran of Triticale,See Chapter 11.,,99,,,"Cereals, Total",1717.0,,
Bran of Triticale,A milling by-product.,,99,,,fodder,,,
"CANARY SEED
Phalaris canariensis",Minor cereal normally used as bird feed.,Canary seed,101,,,"Cereals, Total",1717.0,Annual,
MIXED GRAIN,"A mixture of cereal species that are sown and harvested together.  The
mixture wheat/rye is known as meslin, but in trade is usually
classified with wheat.","Grain, mixed",103,,,"Cereals, Total",1717.0,,
Flour of Mixed Grain,"Broadly defined to include meal, groats and pellets.",,104,,,"Cereals, Total",1717.0,,
Bran of Mixed Grain,A milling by-product.,,105,,,fodder,,,
Bran of Mixed Grain,See Chapter 11.,,105,,,"Cereals, Total",1717.0,,
"CEREALS NES
Including inter alia:
canagua or coaihua
(Chenopodium pallidicaule);
quihuicha or Inca wheat
(Amaranthus caudatus);
adlay or Job's tears
(Coix lacryma-jobi);
wild rice (Zizania aquatica)","Other cereal crops that are not identified separately because of their
minor relevance at the international level. Because of their limited
local importance, some countries report cereals under this commodity
heading that are classified individually by FAO.",Cereals nes,108,,,"Cereals, Total",1717.0,,
Infant Food,"Preparations for infant consumption, usually containing some
non-cereal ingredients.",,109,,,"Cereals, Total",1717.0,,
Wafers,"Communion wafers, empty cachets for pharmaceutical use and sealing
wafers.",,110,,,"Cereals, Total",1717.0,,
Flour of Cereals nes,"Broadly defined to include meal, groats and pellets.",,111,,,"Cereals, Total",1717.0,,
Bran of Cereals nes,See Chapter 11.,,112,,,"Cereals, Total",1717.0,,
Bran of Cereals nes,A milling by-product.,,112,,,fodder,,,
Cereal Preparations,"Cereal grains, excluding barley and oats, that are either rolled,
flaked, pearled, sliced or kibbled.",,113,,,"Cereals, Total",1717.0,,
Mixes and Doughs,Used in the preparation of bakers' wares.,,114,,,"Cereals, Total",1717.0,,
"Food Preparations of Flour, Meal or Malt Extract","Food preparations of flour, meal, starch or malt extracts, that either
do not contain, or contain less than 50%, cocoa powder. Also, food
preparations of milk that either do not contain, or contain less than
10%, cocoa powder.",,115,,,"Cereals, Total",1717.0,,
"POTATOES
Solanum tuberosum
Irish potato","A seasonal crop grown in temperate zones all over the world, but
primarily in the northern hemisphere.",Potatoes,116,,,"Roots and Tubers, Total",1720.0,Annual,
Flour of Potatoes,"Produced from tubers that have been peeled, dried and milled. Includes
flour, meal, flakes, granules and pellets.",,117,,,"Roots and Tubers, Total",1720.0,Annual,
Frozen Potatoes,"Peeled potatoes that are either cooked or uncooked, sliced or
unsliced, and then frozen.",,118,,,"Roots and Tubers, Total",1720.0,Annual,
Starch of Potatoes,"A carbohydrate found in many plant cells. A white odourless powder
that is insoluble in cold water, but forms a paste in hot water. Has
wide food and non-food uses.",,119,,,"Roots and Tubers, Total",1720.0,Annual,
Potato Offals,The residue and waste from the preparation of potatoes.,,120,,,fodder,,Annual,
Potato Offals,See Chapter 11.,,120,,,"Roots and Tubers, Total",1720.0,Annual,
Tapioca of Potatoes,"A product obtained by heating potato starch mixed with water. Tapioca
may be in the form of flakes, grains, pearls, siftings, seeds or other
similar forms. Used in the preparation of soups and puddings or in
foods for invalids.",,121,,,"Roots and Tubers, Total",1720.0,,
"SWEET POTATOES
Ipomoea batatas","A seasonal crop grown in tropical and subtropical regions. Used mainly
for human food. Trade data cover fresh and dried tubers, whether or
not sliced or in the form or pellets.",Sweet potatoes,122,,,"Roots and Tubers, Total",1720.0,Annual,
"CASSAVA
Manioc, mandioca, yuca  (Manihot esculenta, syn. M. utilissima);
yuca dulce (M. palmata, syn. M. dulcis)","A semi-permanent crop grown in tropical and subtropical regions.
Sometimes bitter and sweet cassavas are referred to as separate
species, the former being M. esculenta and the latter M. palmata, but
this is incorrect since the toxicity varies according to location.
Cassava is the staple food in many tropical countries. It is not
traded internationally in its fresh state because tubers deteriorate
very rapidly.",Cassava,125,,,"Roots and Tubers, Total",1720.0,Annual,
Flour of Cassava,"A product of tubers that have been peeled, dried and milled; mainly
for human consumption. Includes flour, meal and flakes.",,126,,,"Roots and Tubers, Total",1720.0,Annual,
Tapioca of Cassava,"See 0121.
Obtained from cassava starch and used in the preparation of
puddings and in infant foods.",,127,,,"Roots and Tubers, Total",1720.0,Annual,
"Cassava, Dried","Includes peeled, sliced and sun-dried (cassava chips), as well as
ground and compressed cassava (pellets). Used mainly as livestock
feed.",,128,,,"Roots and Tubers, Total",1720.0,Annual,
Starch of Cassava,"See 0119.
The principal industrial outlet for cassava. Cassava starch
is used in the foodstuffs, textile and paper industries for the
manufacture of plywood and veneer, adhesives, glucose and dextrine.",,129,,,"Roots and Tubers, Total",1720.0,Annual,
"YAUTIA (COCOYAM)
Xanthosoma spp.;
malanga, new cocoyam, ocumo, tannia (X. sagittifolium)","Several plants are included in this group, some with edible tubers and
others with edible stems (also called aroids). Yautia is grown mainly
in the Caribbean and is used for food. Trade data cover both fresh and
dried yautia.",Yautia (cocoyam),135,,,"Roots and Tubers, Total",1720.0,,
"TARO (COCOYAM)
Dasheen, eddoe, taro, old cocoyam(Colocasia esculenta)","Aroids cultivated for their edible starchy corms or underground stems.
Taro is grown throughout the tropics for food. Trade data cover both
fresh and dried taro.",Taro (cocoyam),136,,,"Roots and Tubers, Total",1720.0,Perennial,
"YAMS
Dioscorea spp.","The principal edible yams are widely grown throughout the tropics. A
starchy staple foodstuff, normally eaten as a vegetable, boiled, baked
or fried. In West Africa they are consumed mainly as ""fufu"", a stiff
glutinous dough. Trade data cover both fresh and dried yams.",Yams,137,,,"Roots and Tubers, Total",1720.0,,
"ROOTS AND TUBERS NES
Including inter alia: arracacha (Arracacoa xanthorrhiza);
arrowroot (Maranta arundinacea);
chufa (Cyperus esculentus);
sago palm (Metroxylon spp.);
oca and ullucu (Oxalis tuberosa and Ullucus tuberosus);
yam bean, jicama  (Pachyrxhizus erosus, P. angulatus);
mashua (Tropaeolum tuberosum);
Jerusalem artichoke, topinambur (Helianthus tuberosus)","Other tubers, roots or rhizomes, fresh, that are not identified
separately because of their minor relevance at the international
level. Because of their limited local importance, some countries
report roots and tubers under this commodity heading that are
classified individually by FAO.",Roots and tubers nes,149,,,"Roots and Tubers, Total",1720.0,,
Flour of Roots and Tubers nes,"Flour and meal produced from roots and tubers o/t potatoes and
cassava.",,150,,,"Roots and Tubers, Total",1720.0,,
"Roots and Tubers, Dried nes","Other tubers, roots or rizhomes, dried, o/t potatoes and cassava.",,151,,,"Roots and Tubers, Total",1720.0,,
"Fructose, Chemically Pure","Or levulose, monosaccharide, present with glucose in sweet fruits and
honey.",,154,,,sugar,,,
"Maltose, Chemically Pure","Produced industrially from starch by hydrolysis with malt diastase.
Used in the brewing industry.",,155,,,sugar,,,
"Maltose, Chemically Pure",See Chapter 3.,,155,,,"Cereals, Total",1717.0,,
"SUGAR CANE
Saccharum officinarum","In some producing countries, marginal quantities of sugar cane are
consumed, either directly as food or in the form of juice.",Sugar cane,156,,,sugar,,Perennial,15.0
"SUGAR BEET
Beta vulgaris var. altissima","In some producing countries, marginal quantities are consumed, either
directly as food or in the preparation of jams.",Sugar beet,157,,,sugar,,Perennial,15.0
Cane Sugar,"A non-refined, crystallized material derived from the juices of
sugar-cane stalk and consisting either wholly or essentially of
sucrose.",,158,,,sugar,,Perennial,15.0
Cane Sugar,"A non-refined, crystallized material derived from the juices of
sugar-cane stalk and consisting either wholly or essentially of
sucrose.",,158,,,sugar,,Perennial,15.0
Beet Sugar,"A non-refined, crystallized material derived from the juices extracted
from the root of the sugar beet and consisting either wholly or
essentially of sucrose.",,159,,,sugar,,Perennial,15.0
Beet Sugar,"A non-refined, crystallized material derived from the juices extracted
from the root of the sugar beet and consisting either wholly or
essentially of sucrose.",,159,,,sugar,,Perennial,15.0
Maple Sugar and Syrups,"Maple syrup is produced by atmospheric boiling of maple sap in an
open-pan evaporator. Continuing the evaporation process until the
syrup crystalizes yields maple sugar.",,160,,,sugar,,Perennial,15.0
"SUGAR CROPS NES
Including inter alia:
sugar maple (Acer saccharum);
sweet sorghum (Sorghum saccharatum);
sugar palm (Arenga saccharifera)","Includes minor sugar crops of local importance. In the case of saps,
production is to be expressed in liquid equivalent.",Sugar crops nes,161,,,sugar,,Perennial,15.0
"Sugar, Raw Centrifugal","The sum of codes 0158 and 0159.
Processed further to obtain refined sugar.",,162,,,sugar,,Perennial,15.0
"Sugar, Raw Centrifugal","The sum of codes 0158 and 0159. Processed further to obtain refined
sugar.",,162,,,sugar,,Perennial,15.0
"Sugar, Non-Centrifugal","Generally derived from sugar cane through traditional methods without
centrifugation.",,163,,,sugar,,Perennial,15.0
"Sugar, Non-Centrifugal","Generally derived from sugar cane through traditional methods without
centrifugation.",,163,,,sugar,,Perennial,15.0
"Sugar, Refined","Production covers domestic production, plus or minus imports and/or
exports of raw centrifugal sugar in terms of refined sugar.",,164,,,sugar,,Perennial,15.0
"Sugar, Refined","Production covers domestic production, plus or minus imports and/or
exports of raw centrifugal sugar in terms of refined sugar.",,164,,,sugar,,Perennial,15.0
Molasses,"A by-product of the extraction or refining of beet or cane sugar or of
the production of fructose from maize. Used for feed, food, industrial
alcohol, alcoholic beverages and ethanol.",,165,,,sugar,,,
Molasses,"A by-product of the extraction or refining of beet or cane sugar or of
the production of fructose from maize. Used for feed, food, industrial
alcohol, alcoholic beverages and ethanol.",,165,,,sugar,,,
Other Fructose and Syrup,"Monosaccharide found in fruits and honey, commercially produced from
glucose, sucrose or by hydrolysis of inulin (polysaccharide found
mainly in the tubers of the dahlia and the Jerusalem artichoke).
Especially suitable for use by diabetics.",,166,,,sugar,,,
Other Fructose and Syrup,See Chapter 3.,,166,,,"Cereals, Total",1717.0,,
Sugar and Syrups nes,"Includes invert sugar, caramel, golden syrup, artificial honey,
maltose other than chemically pure, sorghum and palm sugars. See also
the general note in the introduction.",,167,,,sugar,,,
Sugar Confectionery,"Sugar confectionery, including chewing gum, that does not contain
cocoa. Includes white chocolate.",,168,,,sugar,,,
Beet Pulp,See Chapter 11.,,169,,,sugar,,,
Beet Pulp,See Chapter 11.,,169,,,sugar,,,
Beet Pulp,"Residue from the extraction of sugar from the root of sugar beets.
Used for animal feed.",,169,,,fodder,,,
Bagasse,See Chapter 11.,,170,,,sugar,,,
Bagasse,See Chapter 11.,,170,,,sugar,,,
Bagasse,"Residue consisting of the fibrous portion of the sugar cane after the
juice has been extracted. Used as a fuel in sugar mills, as an animal
feed, and in paper production.",,170,,,fodder,,,
Glucose and Dextrose,See Chapter 3.,,172,,,"Cereals, Total",1717.0,,
Glucose and Dextrose,"Glucose is a monosaccharide produced by hydrolysing starch with acids
and/or enzymes.  Dextrose is chemically pure glucose. Used in the food
industry, in brewing, in tobacco fermentation and in pharmaceutical
products.",,172,,,sugar,,,
Lactose,Also known as milk sugar. Produced commercially from whey.,,173,,,sugar,,,
Lactose,See Chapter 3.,,173,,,animal,,,
Artificial Sweeteners,"High-intensity or low-caloric sweetening agents that are produced
chemically.",,174,,,sugar,,,
Isoglucose,"Also known as HFCS (high-fructose corn syrup), HFSS (high-fructose
starch syrup), HFGS (high-fructose glucose syrup). Isoglucose is a new
type of starch syrup where glucose has been isomerized to fructose by
using one or more isomerizing enzymes. Most important of the
sweeteners manufactured from maize starch. Widely used in the
production of food and soft drinks.",,175,,,sugar,,,
Isoglucose,See Chapter 3.,,175,,,"Cereals, Total",1717.0,,
"BEANS, DRY
Phaseolus spp.: kidney, haricot bean  (Ph. vulgaris);
lima, butter bean (Ph. lunatus);
adzuki bean (Ph. angularis);
mungo bean, golden, green gram (Ph. aureus);
black gram, urd (Ph. mungo);
scarlet runner bean  (Ph. coccineus);
rice bean (Ph. calcaratus);
moth bean (Ph. aconitifolius);
tepary bean (Ph. acutifolius)","Only species of Phaseolus should be included, though several countries
also include certain types of beans. Commonly classified as Vigna
(angularis, mungo, radiata, aconitifolia). In the past, these species
were also classified as Phaseolus.","Beans, dry",176,,,"Pulses, Total",1726.0,Annual,
"BROAD BEANS, DRY
Vicia faba:
horse-bean (var. equina);
broad bean (var. major);
field bean (var. minor)",,"Broad beans, horse beans, dry",181,,,"Pulses, Total",1726.0,Annual,
"PEAS, DRY
garden pea (Pisum sativum);
field pea (P. arvense)",,"Peas, dry",187,,,"Pulses, Total",1726.0,Annual,
"CHICK-PEAS
chickpea, Bengal gram, garbanzos (Cicer arietinum)",,Chick peas,191,,,"Pulses, Total",1726.0,Annual,
"COW PEAS, DRY
cowpea, blackeye pea/bean  (Vigna sinensis; Dolichos sinensis)",,"Cow peas, dry",195,,,"Pulses, Total",1726.0,Annual,
"PIGEON PEAS
pigeon pea, cajan pea, Congo bean (Cajanus cajan)",,Pigeon peas,197,,,"Pulses, Total",1726.0,Annual,
"PIGEON PEAS
pigeon pea, cajan pea, Congo bean (Cajanus cajan)",,Pigeon peas,197,,,"Pulses, Total",1726.0,Annual,
"LENTILS
(Lens esculenta; Ervum lens)",,Lentils,201,,,"Pulses, Total",1726.0,,
"BAMBARA BEANS
bambara groundnut, earth pea (Voandzeia subterranea)",These beand are grown underground in a similar way to groundnuts.,Bambara beans,203,,,"Pulses, Total",1726.0,Annual,
"VETCHES
spring/common vetch (Vicia sativa)",Used mainly for animal feed.,Vetches,205,,,"Pulses, Total",1726.0,,
"LUPINS
(Lupinus spp.)","Used primarily for feed, though in some parts of Africa and in Latin
America some varieties are cultivated for human food.",Lupins,210,,,"Pulses, Total",1726.0,,
"PULSES NES
Including inter alia: lablab or hyacinth bean (Dolichos spp.);
jack or sword bean  (Canavalia spp.);
winged bean (Psophocarpus tetragonolobus);
guar bean (Cyamopsis tetragonoloba);
velvet bean (Stizolobium spp.);
yam bean (Pachyrrhizus erosus);","Vigna spp. other than those included in 0176 and 0195
Other pulses that are not identified separately because of their minor
relevance at the international level. Because of their limited local
importance, some countries report pulses under this heading that are
classified individually by FAO.",Pulses nes,211,,,"Pulses, Total",1726.0,,
Flour of Pulses,"Produced through milling or grinding of pulses.  This heading also
includes meal.",,212,,,"Pulses, Total",1726.0,,
Bran of Pulses,"Bran, sharps and other residues from the milling or working of pulses.",,213,,,fodder,,,
Bran of Pulses,See Chapter 11.,,213,,,"Pulses, Total",1726.0,,
"BRAZIL NUTS
Brazil, Para or cream nut (Bertholletia excelsa)",,"Brazil nuts, with shell",216,,,"Treenuts, Total",1729.0,Perennial,
"CASHEW NUTS
Anacardium occidentale","Produced mainly in East Africa, India and Brazil.","Cashew nuts, with shell",217,,,"Treenuts, Total",1729.0,Perennial,50.0
"CHESTNUTS
Castanea spp.: C. vesca; C. vulgaris; C. sativa

Produced mainly in Europe and Asia.",Produced mainly in Europe and Asia.,Chestnut,220,,,"Treenuts, Total",1729.0,Perennial,
"ALMONDS
Prunus amygdalus; P. communis; Amygdalus communis

Produced mainly in Mediterranean countries, the United States and
Asia.","Produced mainly in Mediterranean countries, the United States and
Asia.","Almonds, with shell",221,,,"Treenuts, Total",1729.0,Perennial,
"WALNUTS
Jugland spp.: J. regia","Produced in temperate zones of the Northern Hemisphere, particularly
in the United States.","Walnuts, with shell",222,,,"Treenuts, Total",1729.0,Perennial,250.0
"PISTACHIOS
Pistacia vera",Produced mainly in the Near East and the United States.,Pistachios,223,,,"Treenuts, Total",1729.0,Perennial,
