Item,Year,production,class,area,type,lifespan,price,yield_i,eco lifespan
Oranges,2012,16252.0,Fruit Primary,2993.0,Perennial,50.0,906.5,0.18416194929854787,0.9714
Papayas,2012,35634.0,Fruit Primary,2031.0,Perennial,5.0,323.8,0.05699612729415727,0.7143
Pepper (piper spp.),2012,26000.0,spice,10833.0,Annual,,5293.0,0.41665384615384615,0.8
Pineapples,2012,314405.0,Fruit Primary,13096.0,Perennial,7.0,356.1,0.04165328159539448,0.7959
"Pumpkins, squash and gourds",2012,17382.0,Vegetables Primary,1664.0,Annual,,323.8,0.09573121620066735,0.8
"Rice, paddy",2012,2599382.0,"Cereals, Total",684545.0,Annual,,242.8,0.2633491345250525,0.8
"Rubber, natural",2012,923020.0,tobacco,1041190.0,Perennial,32.0,3083.7,1.1280253948993522,0.9554
Spinach,2012,53038.0,Vegetables Primary,4023.0,Annual,,437.1,0.0758512764433048,0.8
Sugar cane,2012,146164.0,sugar,4346.0,Perennial,15.0,291.4,0.029733723762349142,0.9048
Sweet potatoes,2012,55838.0,"Roots and Tubers, Total",2595.0,Annual,,356.1,0.046473727569039,0.8
"Tobacco, unmanufactured",2012,1972.0,tobacco,2526.0,Annual,,4739.7,1.2809330628803246,0.8
Tomatoes,2012,129572.0,Vegetables Primary,1978.0,Annual,,550.4,0.015265643811934678,0.8
Watermelons,2012,225681.0,Vegetables Primary,11949.0,Annual,,307.6,0.052946415515705794,0.8
Bananas,2013,288677.0,Fruit Primary,27085.0,Perennial,6.0,349.1,0.09382458595592999,0.7619
Cabbages and other brassicas,2013,129148.0,Vegetables Primary,4845.0,Annual,,365.0,0.037515098956236254,0.8
Cassava,2013,62843.0,"Roots and Tubers, Total",4046.0,Annual,,301.5,0.06438266791846348,0.8
Cereals (Rice Milled Eqv),2013,1823136.0,"Cereals, Total",681399.0,Annual,,214.2,0.3737510531304302,0.8
"Chillies and peppers, green",2013,59775.0,Vegetables Primary,4104.0,Annual,,1539.2,0.06865746549560853,0.8
"Cocoa, beans",2013,2809.0,stimulant,13826.0,Annual,,2003.9,4.922036311854753,0.8
Coconuts,2013,624727.0,"Oilcrops, Oil Equivalent",87974.0,Perennial,70.0,333.2,0.14081991013674774,0.9796
Cucumbers and gherkins,2013,119857.0,Vegetables Primary,5161.0,Annual,,333.2,0.04305964607824324,0.8
Ginger,2013,8831.0,spice,893.0,Annual,,1269.5,0.10112105084361907,0.8
Grapefruit (inc. pomelos),2013,11714.0,Fruit Primary,1093.0,Perennial,50.0,460.2,0.09330715383302032,0.9714
Lemons and limes,2013,9293.0,Fruit Primary,1310.0,Perennial,50.0,777.6,0.14096631873453136,0.9714
Lettuce and chicory,2013,64993.0,Vegetables Primary,3346.0,Annual,,666.5,0.0514824673426369,0.8
Maize,2013,86499.0,"Cereals, Total",9720.0,Annual,,190.4,0.11237124128602642,0.8
"Mangoes, mangosteens, guavas",2013,69266.0,Fruit Primary,11138.0,Perennial,300.0,904.5,0.1608003926890538,0.9952
Oil palm fruit,2013,94917736.0,"Oilcrops, Oil Equivalent",5229739.0,Perennial,30.0,153.9,0.05509759524816311,0.9524
Oilseeds nes,2013,183315.0,"Oilcrops, Oil Equivalent",152119.0,Annual,,4579.4,0.8298229822982298,0.8
Okra,2013,34370.0,Vegetables Primary,2703.0,Annual,,952.1,0.07864416642420716,0.8
Oranges,2013,18666.0,Fruit Primary,3108.0,Perennial,50.0,1031.4,0.16650594664095147,0.9714
Papayas,2013,31748.0,Fruit Primary,1934.0,Perennial,5.0,365.0,0.060917223132165806,0.7143
Pepper (piper spp.),2013,26500.0,spice,9835.0,Annual,,5289.9,0.37113207547169813,0.8
Pineapples,2013,244353.0,Fruit Primary,10580.0,Perennial,7.0,380.8,0.04329801557582678,0.7959
"Pumpkins, squash and gourds",2013,32544.0,Vegetables Primary,2323.0,Annual,,333.2,0.07138028515240905,0.8
"Rice, paddy",2013,2603654.0,"Cereals, Total",671679.0,Annual,,238.0,0.25797552209318136,0.8
"Rubber, natural",2013,826424.0,tobacco,1057271.0,Perennial,32.0,2458.6,1.2793324008015257,0.9554
Spinach,2013,56649.0,Vegetables Primary,4288.0,Annual,,444.3,0.07569418701124468,0.8
Sugar cane,2013,98885.0,sugar,2847.0,Perennial,15.0,253.9,0.028791019871567982,0.9048
Sweet potatoes,2013,50748.0,"Roots and Tubers, Total",3042.0,Annual,,365.0,0.05994324899503429,0.8
"Tobacco, unmanufactured",2013,419.0,tobacco,538.0,Annual,,4345.956117624693,1.2840095465393795,0.8
Tomatoes,2013,190977.0,Vegetables Primary,2831.0,Annual,,714.1,0.014823774590657514,0.8
Watermelons,2013,209599.0,Vegetables Primary,11032.0,Annual,,349.1,0.05263383890190316,0.8
Bananas,2014,303107.0,Fruit Primary,28911.0,Perennial,6.0,580.5,0.09538215877561389,0.7619
Cabbages and other brassicas,2014,301518.0,Vegetables Primary,7937.0,Annual,,326.9,0.026323469908927494,0.8
Cassava,2014,51911.0,"Roots and Tubers, Total",3050.0,Annual,,290.3,0.05875440658049354,0.8
Cereals (Rice Milled Eqv),2014,1283020.0,"Cereals, Total",624286.0,Annual,,275.0,0.48657542360992034,0.8
"Chillies and peppers, green",2014,40521.0,Vegetables Primary,3582.0,Annual,,1399.4,0.08839860812911823,0.8
"Cocoa, beans",2014,2665.0,stimulant,16102.0,Annual,,2607.8,6.04202626641651,0.8
Coconuts,2014,595097.0,"Oilcrops, Oil Equivalent",88092.0,Perennial,70.0,275.0,0.14802964894798662,0.9796
Cucumbers and gherkins,2014,97331.0,Vegetables Primary,4661.0,Annual,,369.7,0.04788813430458949,0.8
Ginger,2014,10775.0,spice,1048.0,Annual,,2245.7,0.09726218097447796,0.8
Grapefruit (inc. pomelos),2014,11831.0,Fruit Primary,1009.0,Perennial,50.0,550.0,0.08528442228044966,0.9714
Lemons and limes,2014,7477.0,Fruit Primary,989.0,Perennial,50.0,1038.8,0.1322723017252909,0.9714
Lettuce and chicory,2014,67320.0,Vegetables Primary,3127.0,Annual,,825.0,0.046449792038027335,0.8
Maize,2014,59188.0,"Cereals, Total",9707.0,Annual,,183.3,0.16400283841319185,0.8
"Mangoes, mangosteens, guavas",2014,77198.0,Fruit Primary,11977.0,Perennial,300.0,756.2,0.1551465063861758,0.9952
Oil palm fruit,2014,95380438.0,"Oilcrops, Oil Equivalent",4689321.0,Perennial,30.0,158.6,0.0491643894526884,0.9524
Oilseeds nes,2014,187043.0,"Oilcrops, Oil Equivalent",154320.0,Annual,,4609.1,0.8250509241190528,0.8
Okra,2014,45130.0,Vegetables Primary,3120.0,Annual,,960.9,0.06913361400398847,0.8
Oranges,2014,16622.0,Fruit Primary,2965.0,Perennial,50.0,198.6,0.17837805318252917,0.9714
Papayas,2014,55358.0,Fruit Primary,2771.0,Perennial,5.0,381.9,0.050055999132916654,0.7143
Pepper (piper spp.),2014,27500.0,spice,16021.0,Annual,,6879.6,0.5825818181818182,0.8
Pineapples,2014,335725.0,Fruit Primary,9456.0,Perennial,7.0,359.0,0.028165909598629833,0.7959
"Pumpkins, squash and gourds",2014,44526.0,Vegetables Primary,2333.0,Annual,,336.1,0.0523963526928087,0.8
"Rice, paddy",2014,1834831.0,"Cereals, Total",614579.0,Annual,,366.7,0.33495128434171867,0.8
"Rubber, natural",2014,668613.0,tobacco,1065600.0,Perennial,32.0,1690.1,1.5937470554715507,0.9554
Spinach,2014,51286.0,Vegetables Primary,4386.0,Annual,,458.3,0.08552041492805054,0.8
Sugar cane,2014,9147.0,sugar,237.0,Perennial,15.0,290.3,0.025910134470318136,0.9048
Sweet potatoes,2014,51476.0,"Roots and Tubers, Total",3013.0,Annual,,397.2,0.058532131478747376,0.8
"Tobacco, unmanufactured",2014,1769.0,tobacco,2292.0,Annual,,4091.368210599639,1.295647258338044,0.8
Tomatoes,2014,162384.0,Vegetables Primary,1948.0,Annual,,718.0,0.01199625578874766,0.8
Watermelons,2014,176379.0,Vegetables Primary,10842.0,Annual,,305.5,0.06146990287959451,0.8
Bananas,2015,315500.0,Fruit Primary,24858.0,Perennial,6.0,460.9,0.07878922345483359,0.7619
Cabbages and other brassicas,2015,277202.0,Vegetables Primary,8261.0,Annual,,358.5,0.02980137228447125,0.8
Cassava,2015,67713.0,"Roots and Tubers, Total",3418.0,Annual,,268.9,0.05047775168726833,0.8
Cereals (Rice Milled Eqv),2015,1890976.0,"Cereals, Total",691589.0,Annual,,236.85000000000002,0.36573124143299546,0.8
"Chillies and peppers, green",2015,47015.0,Vegetables Primary,2915.0,Annual,,1331.5,0.062001488886525576,0.8
"Cocoa, beans",2015,1729.0,stimulant,18122.0,Annual,,2055.8,10.481203007518797,0.8
Coconuts,2015,505614.0,"Oilcrops, Oil Equivalent",73167.0,Perennial,70.0,243.2,0.14470920504574636,0.9796
Cucumbers and gherkins,2015,100817.0,Vegetables Primary,4371.0,Annual,,320.1,0.043355783250840635,0.8
Ginger,2015,12924.0,spice,965.0,Annual,,1711.631924118213,0.07466728567007118,0.8
Grapefruit (inc. pomelos),2015,10196.0,Fruit Primary,1044.0,Perennial,50.0,601.7,0.10239309533150255,0.9714
Lemons and limes,2015,7587.0,Fruit Primary,850.0,Perennial,50.0,780.9,0.11203374192698036,0.9714
Lettuce and chicory,2015,66006.0,Vegetables Primary,3182.0,Annual,,808.9104313117714,0.04820773869042208,0.8
Maize,2015,62460.0,"Cereals, Total",10030.0,Annual,,166.4,0.1605827729747038,0.8
"Mangoes, mangosteens, guavas",2015,98315.0,Fruit Primary,8344.0,Perennial,300.0,1024.2,0.08487006051975791,0.9952
Oil palm fruit,2015,98344073.0,"Oilcrops, Oil Equivalent",4859397.0,Perennial,30.0,117.5,0.0494121999604389,0.9524
Oilseeds nes,2015,192347.0,"Oilcrops, Oil Equivalent",155948.0,Annual,,3952.7,0.8107638798629561,0.8
Okra,2015,50778.0,Vegetables Primary,3326.0,Annual,,857.8,0.0655008074362913,0.8
Oranges,2015,15537.0,Fruit Primary,1643.0,Perennial,50.0,385.20868947337976,0.10574757031601982,0.9714
Papayas,2015,60625.0,Fruit Primary,2514.0,Perennial,5.0,345.7,0.0414680412371134,0.7143
Pepper (piper spp.),2015,28300.0,spice,16333.0,Annual,,7177.3,0.5771378091872792,0.8
Pineapples,2015,452021.0,Fruit Primary,10551.0,Perennial,7.0,307.3,0.023341835888155638,0.7959
"Pumpkins, squash and gourds",2015,25652.0,Vegetables Primary,1817.0,Annual,,345.7,0.07083268361141432,0.8
"Rice, paddy",2015,2741404.0,"Cereals, Total",681559.0,Annual,,307.3,0.24861676717477613,0.8
"Rubber, natural",2015,722122.0,tobacco,1074386.0,Perennial,32.0,1336.3,1.48781784795367,0.9554
Spinach,2015,48357.0,Vegetables Primary,3860.0,Annual,,422.5,0.0798229832289017,0.8
Sugar cane,2015,30271.0,sugar,1717.0,Perennial,15.0,217.6,0.05672095404842919,0.9048
Sweet potatoes,2015,50607.0,"Roots and Tubers, Total",2908.0,Annual,,371.3,0.057462406386468275,0.8
"Tobacco, unmanufactured",2015,2139.0,tobacco,2791.0,Annual,,3638.8980233955585,1.3048153342683497,0.8
Tomatoes,2015,165177.0,Vegetables Primary,1984.0,Annual,,601.7,0.012011357513455263,0.8
Watermelons,2015,178928.0,Vegetables Primary,10024.0,Annual,,268.9,0.05602253420370205,0.8
Bananas,2016,309508.0,Fruit Primary,22294.0,Perennial,6.0,433.9,0.07203044832443749,0.7619
Cabbages and other brassicas,2016,101258.0,Vegetables Primary,3774.0,Annual,,361.6,0.037271129194730294,0.8
Cassava,2016,61161.0,"Roots and Tubers, Total",3148.0,Annual,,313.4,0.051470708458004284,0.8
Cereals (Rice Milled Eqv),2016,1892184.0,"Cereals, Total",698812.0,Annual,,289.3,0.36931503490146833,0.8
"Chillies and peppers, green",2016,43738.0,Vegetables Primary,3176.0,Annual,,1518.7,0.07261420275275504,0.8
"Cocoa, beans",2016,1757.0,stimulant,17421.0,Annual,,2017.7,9.915196357427433,0.8
Coconuts,2016,504773.0,"Oilcrops, Oil Equivalent",75151.0,Perennial,70.0,241.1,0.1488807840355962,0.9796
Cucumbers and gherkins,2016,97621.0,Vegetables Primary,4359.0,Annual,,325.4,0.044652277686153596,0.8
Ginger,2016,13362.0,spice,940.0,Annual,,1918.0617150999785,0.07034875018709774,0.8
Grapefruit (inc. pomelos),2016,12858.0,Fruit Primary,910.0,Perennial,50.0,554.4,0.0707730595738062,0.9714
Lemons and limes,2016,7072.0,Fruit Primary,1013.0,Perennial,50.0,771.4,0.14324095022624433,0.9714
Lettuce and chicory,2016,65268.0,Vegetables Primary,3017.0,Annual,,809.2907573824596,0.04622479622479622,0.8
Maize,2016,64867.0,"Cereals, Total",10042.0,Annual,,176.02653721679235,0.15480907086808393,0.8
"Mangoes, mangosteens, guavas",2016,102046.0,Fruit Primary,8379.0,Perennial,300.0,1265.6,0.08211002881053643,0.9952
Oil palm fruit,2016,86325309.0,"Oilcrops, Oil Equivalent",5001438.0,Perennial,30.0,143.2,0.05793709930421448,0.9524
Oilseeds nes,2016,195130.0,"Oilcrops, Oil Equivalent",155334.0,Annual,,3869.3,0.7960539127760979,0.8
Okra,2016,49057.0,Vegetables Primary,3127.0,Annual,,771.4,0.06374217746702815,0.8
Oranges,2016,13448.0,Fruit Primary,1557.0,Perennial,50.0,303.6319254759596,0.1157792980368828,0.9714
Papayas,2016,65967.0,Fruit Primary,3980.0,Perennial,5.0,337.5,0.06033319690148104,0.7143
Pepper (piper spp.),2016,29245.0,spice,16768.0,Annual,,6364.1,0.5733629680287229,0.8
Pineapples,2016,391714.0,Fruit Primary,10354.0,Perennial,7.0,313.4,0.026432550279030107,0.7959
"Pumpkins, squash and gourds",2016,16494.0,Vegetables Primary,1128.0,Annual,,313.4,0.06838850491087668,0.8
"Rice, paddy",2016,2739606.0,"Cereals, Total",688770.0,Annual,,289.3,0.2514120643625397,0.8
"Rubber, natural",2016,673513.0,tobacco,1077993.0,Perennial,32.0,1370.3,1.600552624819417,0.9554
Spinach,2016,54823.0,Vegetables Primary,4276.0,Annual,,421.9,0.07799646133921895,0.8
Sugar cane,2016,28038.0,sugar,1515.0,Perennial,15.0,204.9,0.054033811256152364,0.9048
Sweet potatoes,2016,43212.0,"Roots and Tubers, Total",2592.0,Annual,,301.3,0.05998333796167731,0.8
"Tobacco, unmanufactured",2016,2195.0,tobacco,2864.0,Annual,,3829.529414768218,1.3047835990888383,0.8
Tomatoes,2016,242946.0,Vegetables Primary,2794.0,Annual,,482.1,0.01150049805306529,0.8
Watermelons,2016,192910.0,Vegetables Primary,11058.0,Annual,,277.2,0.05732206728526256,0.8
Bananas,2017,350493.0,Fruit Primary,27565.0,Perennial,6.0,377.9,0.07864636383608231,0.7619
Cabbages and other brassicas,2017,77342.0,Vegetables Primary,3279.0,Annual,,381.4,0.04239611078068837,0.8
Cassava,2017,44229.0,"Roots and Tubers, Total",2566.0,Annual,,305.8,0.05801623369282597,0.8
Cereals (Rice Milled Eqv),2017,2008124.0,"Cereals, Total",699745.0,Annual,,279.0,0.3484570673922527,0.8
"Chillies and peppers, green",2017,27358.0,Vegetables Primary,2835.0,Annual,,1397.5,0.103625996052343,0.8
"Cocoa, beans",2017,1029.0,stimulant,17554.0,Annual,,1436.6,17.059280855199223,0.8
Coconuts,2017,517589.0,"Oilcrops, Oil Equivalent",74008.0,Perennial,70.0,281.4,0.14298603718394323,0.9796
Cucumbers and gherkins,2017,88492.0,Vegetables Primary,4401.0,Annual,,295.3,0.04973330922569272,0.8
Ginger,2017,14279.0,spice,974.0,Annual,,1926.352662122375,0.06821205966804399,0.8
Grapefruit (inc. pomelos),2017,13037.0,Fruit Primary,892.0,Perennial,50.0,512.7,0.06842064892229807,0.9714
Lemons and limes,2017,6961.0,Fruit Primary,1011.0,Perennial,50.0,672.0,0.14523775319637983,0.9714
Lettuce and chicory,2017,40358.0,Vegetables Primary,2323.0,Annual,,880.0718990821069,0.057559839437038504,0.8
Maize,2017,72561.0,"Cereals, Total",10477.0,Annual,,181.61446377135653,0.14438885902895496,0.8
"Mangoes, mangosteens, guavas",2017,113824.0,Fruit Primary,9571.0,Perennial,300.0,959.2,0.08408595726736014,0.9952
Oil palm fruit,2017,101740900.0,"Oilcrops, Oil Equivalent",5110713.0,Perennial,30.0,140.9,0.05023263014186035,0.9524
Oilseeds nes,2017,198944.0,"Oilcrops, Oil Equivalent",156347.0,Annual,,2705.7,0.7858844700016085,0.8
Okra,2017,53937.0,Vegetables Primary,3411.0,Annual,,829.0,0.06324044718838645,0.8
Oranges,2017,13245.0,Fruit Primary,1517.0,Perennial,50.0,277.51641822220614,0.11453378633446584,0.9714
Papayas,2017,83797.0,Fruit Primary,2738.0,Perennial,5.0,317.4,0.03267420074704345,0.7143
Pepper (piper spp.),2017,30433.0,spice,17087.0,Annual,,3784.5,0.5614628856833043,0.8
Pineapples,2017,340722.0,Fruit Primary,10131.0,Perennial,7.0,337.2,0.029733917974184232,0.7959
"Pumpkins, squash and gourds",2017,23859.0,Vegetables Primary,1435.0,Annual,,306.9,0.06014501865124272,0.8
"Rice, paddy",2017,2901894.0,"Cereals, Total",689268.0,Annual,,279.0,0.23752349327714933,0.8
"Rubber, natural",2017,740138.0,tobacco,1081889.0,Perennial,32.0,1636.4,1.4617395674860634,0.9554
Spinach,2017,71180.0,Vegetables Primary,5485.0,Annual,,387.2,0.07705816240517,0.8
Sugar cane,2017,29990.0,sugar,1668.0,Perennial,15.0,218.6,0.055618539513171056,0.9048
Sweet potatoes,2017,41245.0,"Roots and Tubers, Total",2441.0,Annual,,391.8,0.05918293126439569,0.8
"Tobacco, unmanufactured",2017,2034.0,tobacco,2659.0,Annual,,3758.1754705530975,1.3072763028515242,0.8
Tomatoes,2017,188185.0,Vegetables Primary,1941.0,Annual,,538.3,0.010314318356935994,0.8
Watermelons,2017,172275.0,Vegetables Primary,9595.0,Annual,,300.0,0.05569583514729357,0.8
Bananas,2018,376589.0,Fruit Primary,31183.0,Perennial,6.0,359.3,0.0828037993674802,0.7619
Cabbages and other brassicas,2018,151934.0,Vegetables Primary,5428.0,Annual,,359.3,0.035726038937959906,0.8
Cassava,2018,39762.0,"Roots and Tubers, Total",2158.0,Annual,,223.0,0.05427292389718827,0.8
Cereals (Rice Milled Eqv),2018,1889926.0,"Cereals, Total",677163.0,Annual,,297.4,0.35830133031663675,0.8
"Chillies and peppers, green",2018,35581.0,Vegetables Primary,2891.0,Annual,,1462.2,0.0812512295888255,0.8
"Cocoa, beans",2018,1505.0,stimulant,18000.0,Annual,,1525.1,11.960132890365449,0.8
Coconuts,2018,519153.0,"Oilcrops, Oil Equivalent",71352.0,Perennial,70.0,297.4,0.13743925201241253,0.9796
Cucumbers and gherkins,2018,89396.0,Vegetables Primary,4582.0,Annual,,309.8,0.05125508971318627,0.8
Ginger,2018,9945.0,spice,992.0,Annual,,1904.0526853161766,0.09974861739567623,0.8
Grapefruit (inc. pomelos),2018,12794.0,Fruit Primary,837.0,Perennial,50.0,532.8,0.06542129123026419,0.9714
Lemons and limes,2018,6997.0,Fruit Primary,1031.0,Perennial,50.0,718.7,0.1473488637987709,0.9714
Lettuce and chicory,2018,57211.0,Vegetables Primary,2931.0,Annual,,801.194381901839,0.05123140654769188,0.8
Maize,2018,76362.0,"Cereals, Total",10237.0,Annual,,185.21444467527138,0.13405882507006103,0.8
"Mangoes, mangosteens, guavas",2018,67087.0,Fruit Primary,10645.0,Perennial,300.0,1486.9,0.15867455691862806,0.9952
Oil palm fruit,2018,98419400.0,"Oilcrops, Oil Equivalent",5235581.0,Perennial,30.0,116.0,0.05319663602907557,0.9524
Oilseeds nes,2018,202758.0,"Oilcrops, Oil Equivalent",157334.0,Annual,,2948.6,0.7759693822191973,0.8
Okra,2018,51257.0,Vegetables Primary,3219.0,Annual,,817.8,0.0628011783756365,0.8
Oranges,2018,13437.0,Fruit Primary,1667.0,Perennial,50.0,376.92771860265077,0.12406043015554068,0.9714
Papayas,2018,50519.0,Fruit Primary,2874.0,Perennial,5.0,359.3,0.05688948712365645,0.7143
Pepper (piper spp.),2018,30457.0,spice,16675.0,Annual,,2550.6,0.5474931871162623,0.8
Pineapples,2018,329365.0,Fruit Primary,10556.0,Perennial,7.0,347.0,0.03204954989145781,0.7959
"Pumpkins, squash and gourds",2018,29568.0,Vegetables Primary,1903.0,Annual,,334.6,0.06436011904761904,0.8
"Rice, paddy",2018,2718987.0,"Cereals, Total",666926.0,Annual,,297.4,0.24528473288029695,0.8
"Rubber, natural",2018,781996.0,tobacco,1103880.0,Perennial,32.0,1347.1,1.4116184737517838,0.9554
Spinach,2018,58120.0,Vegetables Primary,4491.0,Annual,,446.1,0.07727116311080523,0.8
Sugar cane,2018,29433.0,sugar,811.0,Perennial,15.0,246.78089608441445,0.027554105935514557,0.9048
Sweet potatoes,2018,38664.0,"Roots and Tubers, Total",2277.0,Annual,,396.5,0.05889199255121043,0.8
"Tobacco, unmanufactured",2018,2123.0,tobacco,2779.0,Annual,,3889.6001454970665,1.3089967027790863,0.8
Tomatoes,2018,109303.0,Vegetables Primary,1897.0,Annual,,631.9,0.017355424828229785,0.8
Watermelons,2018,185290.0,Vegetables Primary,10797.0,Annual,,297.4,0.0582708187166064,0.8
